year,name,harvested area [ha],yield [kg/ha]
2012,entre rios parana,42000,3200
2013,entre rios parana,45000,3000
2014,entre rios parana,50600,3050
2015,entre rios parana,43400,3200
2016,entre rios parana,44200,3400
2017,entre rios parana,81930,3000
2018,entre rios parana,118000,3700
2019,entre rios parana,76350,3000
2020,entre rios parana,82250,2400
2021,entre rios parana,84500,3200
1969,entre rios tala,13000,700
1970,entre rios tala,15940,1424
1971,entre rios tala,10350,1121
1972,entre rios tala,10400,990
1973,entre rios tala,2400,1600
1974,entre rios tala,3700,1297
1975,entre rios tala,6800,1500
1976,entre rios tala,13700,1569
1977,entre rios tala,7500,1100
1978,entre rios tala,4900,700
1979,entre rios tala,2800,700
1980,entre rios tala,1800,1500
1981,entre rios tala,1700,1100
1982,entre rios tala,3300,1600
1983,entre rios tala,4000,1575
1984,entre rios tala,4500,1800
1985,entre rios tala,2700,1200
1986,entre rios tala,1600,1188
1987,entre rios tala,1500,1800
1988,entre rios tala,2800,1700
1989,entre rios tala,2500,1800
1990,entre rios tala,2500,1400
1991,entre rios tala,500,1200
1992,entre rios tala,2500,2200
1993,entre rios tala,3400,1206
1994,entre rios tala,3500,1514
1995,entre rios tala,2400,1292
1996,entre rios tala,6000,1800
1997,entre rios tala,5300,2302
1998,entre rios tala,6000,2500
1999,entre rios tala,8600,1800
2000,entre rios tala,6400,1500
2001,entre rios tala,11700,1111
2002,entre rios tala,6950,1650
2003,entre rios tala,8000,2500
2004,entre rios tala,10500,2600
2005,entre rios tala,7000,2650
2006,entre rios tala,10000,2900
2007,entre rios tala,14000,2700
2008,entre rios tala,8300,2200
2009,entre rios tala,16690,3635
2010,entre rios tala,10000,4028
2011,entre rios tala,10750,3650
2012,entre rios tala,7840,2200
2013,entre rios tala,10000,3150
2014,entre rios tala,12700,2300
2015,entre rios tala,5500,2600
2016,entre rios tala,16140,3000
2017,entre rios tala,16700,2250
2018,entre rios tala,23500,3500
2019,entre rios tala,20900,2600
2020,entre rios tala,23800,2800
2021,entre rios tala,25000,3200
1969,entre rios uruguay,45750,1100
1970,entre rios uruguay,37100,1375
1971,entre rios uruguay,38500,940
1972,entre rios uruguay,21700,827
1973,entre rios uruguay,6550,1450
1974,entre rios uruguay,6000,1600
1975,entre rios uruguay,13700,1700
1976,entre rios uruguay,26900,1487
1977,entre rios uruguay,12500,950
1978,entre rios uruguay,13200,750
1979,entre rios uruguay,5700,982
1980,entre rios uruguay,3850,1423
1981,entre rios uruguay,4900,1200
1982,entre rios uruguay,7200,1700
1983,entre rios uruguay,8000,1400
1984,entre rios uruguay,9000,1700
1985,entre rios uruguay,5800,1300
1986,entre rios uruguay,2300,1304
1987,entre rios uruguay,1500,1700
1988,entre rios uruguay,2500,1600
1989,entre rios uruguay,3000,1500
1990,entre rios uruguay,6000,1200
1991,entre rios uruguay,5000,1200
1992,entre rios uruguay,4500,2000
1993,entre rios uruguay,5800,897
1994,entre rios uruguay,4500,1711
1995,entre rios uruguay,6000,1800
1996,entre rios uruguay,16700,2299
1997,entre rios uruguay,20000,2100
1998,entre rios uruguay,8000,2250
1999,entre rios uruguay,12650,1800
2000,entre rios uruguay,12000,1400
2001,entre rios uruguay,14800,1216
2002,entre rios uruguay,8950,1500
2003,entre rios uruguay,8000,2500
2004,entre rios uruguay,12850,2600
2005,entre rios uruguay,9000,2750
2006,entre rios uruguay,19720,3000
2007,entre rios uruguay,17350,2700
2008,entre rios uruguay,19750,2600
2009,entre rios uruguay,37200,4341
2010,entre rios uruguay,23000,3408
2011,entre rios uruguay,23300,3600
2012,entre rios uruguay,17630,2200
2013,entre rios uruguay,22000,3050
2014,entre rios uruguay,25700,2300
2015,entre rios uruguay,16500,3400
2016,entre rios uruguay,27360,3200
2017,entre rios uruguay,29500,2500
2018,entre rios uruguay,33000,3500
2019,entre rios uruguay,41000,2400
2020,entre rios uruguay,46700,2900
2021,entre rios uruguay,45000,3100
1969,entre rios victoria,8800,700
1970,entre rios victoria,9800,1602
1971,entre rios victoria,7200,1410
1972,entre rios victoria,6000,1210
1973,entre rios victoria,3400,1647
1974,entre rios victoria,4000,850
1975,entre rios victoria,4300,1800
1976,entre rios victoria,11600,1552
1977,entre rios victoria,4600,1300
1978,entre rios victoria,5600,1000
1979,entre rios victoria,6300,803
1980,entre rios victoria,5500,1618
1981,entre rios victoria,13500,1400
1982,entre rios victoria,18700,2000
1983,entre rios victoria,21850,1739
1984,entre rios victoria,26000,2200
1985,entre rios victoria,26000,1600
1986,entre rios victoria,24500,1698
1987,entre rios victoria,19000,2184
1988,entre rios victoria,24800,2097
1989,entre rios victoria,25000,2200
1990,entre rios victoria,25000,2300
1991,entre rios victoria,19600,1898
1992,entre rios victoria,21000,3000
1993,entre rios victoria,23500,2200
1994,entre rios victoria,24000,2400
1995,entre rios victoria,21500,2251
1996,entre rios victoria,37000,3000
1997,entre rios victoria,31000,2300
1998,entre rios victoria,30000,3000
1999,entre rios victoria,33200,2300
2000,entre rios victoria,38000,2105
2001,entre rios victoria,54500,1303
2002,entre rios victoria,38000,2100
2003,entre rios victoria,31000,3100
2004,entre rios victoria,34000,3300
2005,entre rios victoria,28000,3600
2006,entre rios victoria,29800,3300
2007,entre rios victoria,36000,3100
2008,entre rios victoria,21200,2100
2009,entre rios victoria,29510,4688
2010,entre rios victoria,30000,4750
2011,entre rios victoria,31000,3800
2012,entre rios victoria,21100,2700
2013,entre rios victoria,28250,2700
2014,entre rios victoria,32500,2600
2015,entre rios victoria,19980,3500
2016,entre rios victoria,43020,3400
2017,entre rios victoria,33860,2850
2018,entre rios victoria,47500,3800
2019,entre rios victoria,41750,3000
2020,entre rios victoria,41100,2500
2021,entre rios victoria,50000,3900
1969,entre rios villaguay,24000,1200
1970,entre rios villaguay,27800,1403
1971,entre rios villaguay,24300,1029
1972,entre rios villaguay,17500,857
1973,entre rios villaguay,6800,1485
1974,entre rios villaguay,4070,1410
1975,entre rios villaguay,5200,1700
1976,entre rios villaguay,24800,1411
1977,entre rios villaguay,11520,1250
1978,entre rios villaguay,9500,700
1979,entre rios villaguay,5550,721
1980,entre rios villaguay,3600,1444
1981,entre rios villaguay,2500,1000
1982,entre rios villaguay,1800,1800
1983,entre rios villaguay,3500,1571
1984,entre rios villaguay,4700,1800
1985,entre rios villaguay,3700,1300
1986,entre rios villaguay,2700,1111
1987,entre rios villaguay,2000,1700
1988,entre rios villaguay,3400,1600
1989,entre rios villaguay,1500,1900
1990,entre rios villaguay,1500,1400
1991,entre rios villaguay,500,1200
1992,entre rios villaguay,1500,2200
1993,entre rios villaguay,2900,690
1994,entre rios villaguay,2000,1600
1995,entre rios villaguay,2200,1818
1996,entre rios villaguay,8000,1500
1997,entre rios villaguay,7850,2000
1998,entre rios villaguay,4000,2200
1999,entre rios villaguay,6600,1697
2000,entre rios villaguay,8700,1506
2001,entre rios villaguay,19800,1010
2002,entre rios villaguay,5500,1200
2003,entre rios villaguay,7000,2300
2004,entre rios villaguay,8500,2600
2005,entre rios villaguay,5000,2500
2006,entre rios villaguay,12000,2900
2007,entre rios villaguay,13000,2300
2008,entre rios villaguay,11000,2500
2009,entre rios villaguay,14080,4098
2010,entre rios villaguay,8000,3408
2011,entre rios villaguay,9750,3500
2012,entre rios villaguay,4700,2250
2013,entre rios villaguay,9500,2500
2014,entre rios villaguay,11800,2300
2015,entre rios villaguay,6500,2700
2016,entre rios villaguay,12300,2900
2017,entre rios villaguay,16100,2200
2018,entre rios villaguay,24000,3400
2019,entre rios villaguay,27000,2100
2020,entre rios villaguay,43800,2900
2021,entre rios villaguay,41000,3200
1969,la pampa atreuco,60000,950
1970,la pampa atreuco,6400,680
1971,la pampa atreuco,39000,1051
1972,la pampa atreuco,63000,1151
1973,la pampa atreuco,47000,1450
1974,la pampa atreuco,53300,932
1975,la pampa atreuco,68000,1150
1976,la pampa atreuco,77000,1400
1977,la pampa atreuco,40000,1000
1978,la pampa atreuco,35000,1300
1979,la pampa atreuco,25000,1160
1980,la pampa atreuco,45000,791
1981,la pampa atreuco,59000,1120
1982,la pampa atreuco,80200,1531
1983,la pampa atreuco,64600,1200
1984,la pampa atreuco,62500,1916
1985,la pampa atreuco,50760,1399
1986,la pampa atreuco,52900,1166
1987,la pampa atreuco,51000,1700
1988,la pampa atreuco,50900,1532
1989,la pampa atreuco,68400,1901
1990,la pampa atreuco,75000,1200
1991,la pampa atreuco,43000,1700
1992,la pampa atreuco,34700,1101
1993,la pampa atreuco,44000,1680
1994,la pampa atreuco,43800,1571
1995,la pampa atreuco,38900,1248
1996,la pampa atreuco,57040,1470
1997,la pampa atreuco,49740,2370
1998,la pampa atreuco,46800,2009
1999,la pampa atreuco,48100,2308
2000,la pampa atreuco,50500,2257
2001,la pampa atreuco,49150,1950
2002,la pampa atreuco,50900,2058
2003,la pampa atreuco,33650,1199
2004,la pampa atreuco,47150,1998
2005,la pampa atreuco,19650,1199
2006,la pampa atreuco,8000,1150
2007,la pampa atreuco,28000,2100
2008,la pampa atreuco,30600,1200
2009,la pampa atreuco,6010,1042
2010,la pampa atreuco,26600,1859
2011,la pampa atreuco,35000,2400
2012,la pampa atreuco,32700,2500
2013,la pampa atreuco,32000,1600
2014,la pampa atreuco,20550,2600
2015,la pampa atreuco,27750,2100
2016,la pampa atreuco,25080,1900
2017,la pampa atreuco,22000,2300
2018,la pampa atreuco,24000,2500
2019,la pampa atreuco,22100,1200
2020,la pampa atreuco,33200,2500
2021,la pampa atreuco,18100,2450
1969,la pampa capital,49000,900
1970,la pampa capital,2500,640
1971,la pampa capital,18000,778
1972,la pampa capital,27500,945
1973,la pampa capital,25500,1100
1974,la pampa capital,35000,851
1975,la pampa capital,50000,1000
1976,la pampa capital,55000,1400
1977,la pampa capital,21000,733
1978,la pampa capital,27000,1200
1979,la pampa capital,22300,1296
1980,la pampa capital,24700,753
1981,la pampa capital,29750,874
1982,la pampa capital,51000,1526
1983,la pampa capital,39600,1298
1984,la pampa capital,41000,1800
1985,la pampa capital,32844,1314
1986,la pampa capital,29500,1166
1987,la pampa capital,32000,1559
1988,la pampa capital,31100,1286
1989,la pampa capital,40500,1625
1990,la pampa capital,42000,1100
1991,la pampa capital,40500,1800
1992,la pampa capital,31000,1200
1993,la pampa capital,41300,1700
1994,la pampa capital,36500,1671
1995,la pampa capital,25500,1302
1996,la pampa capital,46000,1700
1997,la pampa capital,36800,2329
1998,la pampa capital,29700,1818
1999,la pampa capital,30800,2273
2000,la pampa capital,31800,2264
2001,la pampa capital,30500,2000
2002,la pampa capital,30700,1960
2003,la pampa capital,23000,1100
2004,la pampa capital,30000,1700
2005,la pampa capital,16100,1150
2006,la pampa capital,5580,1000
2007,la pampa capital,19000,2200
2008,la pampa capital,20100,1299
2009,la pampa capital,4510,1157
2010,la pampa capital,5500,1858
2011,la pampa capital,7000,2300
2012,la pampa capital,6300,2300
2013,la pampa capital,7000,2000
2014,la pampa capital,34520,2500
2015,la pampa capital,23270,2100
2016,la pampa capital,28860,2400
2017,la pampa capital,28800,2100
2018,la pampa capital,29000,2200
2019,la pampa capital,28200,1100
2020,la pampa capital,37200,2200
2021,la pampa capital,29900,2150
1969,la pampa catrilo,38000,1000
1970,la pampa catrilo,5400,741
1971,la pampa catrilo,37000,1046
1972,la pampa catrilo,33000,1052
1973,la pampa catrilo,24500,1500
1974,la pampa catrilo,31000,900
1975,la pampa catrilo,42000,1300
1976,la pampa catrilo,46500,1400
1977,la pampa catrilo,20000,816
1978,la pampa catrilo,26000,1300
1979,la pampa catrilo,24400,1400
1980,la pampa catrilo,22700,749
1981,la pampa catrilo,37900,1029
1982,la pampa catrilo,58000,1523
1983,la pampa catrilo,42780,1286
1984,la pampa catrilo,40000,1800
1985,la pampa catrilo,32200,1400
1986,la pampa catrilo,31200,1401
1987,la pampa catrilo,27000,1619
1988,la pampa catrilo,26500,1472
1989,la pampa catrilo,35900,1741
1990,la pampa catrilo,52000,1200
1991,la pampa catrilo,39300,1700
1992,la pampa catrilo,27000,1159
1993,la pampa catrilo,39400,1799
1994,la pampa catrilo,42500,1871
1995,la pampa catrilo,37000,1551
1996,la pampa catrilo,50000,1790
1997,la pampa catrilo,44600,2170
1998,la pampa catrilo,35200,1960
1999,la pampa catrilo,36800,2310
2000,la pampa catrilo,38700,2326
2001,la pampa catrilo,37750,2100
2002,la pampa catrilo,35900,2050
2003,la pampa catrilo,14600,1100
2004,la pampa catrilo,28500,1600
2005,la pampa catrilo,19000,1400
2006,la pampa catrilo,5200,1300
2007,la pampa catrilo,15000,2600
2008,la pampa catrilo,20000,1400
2009,la pampa catrilo,3920,1099
2010,la pampa catrilo,4500,2478
2011,la pampa catrilo,5000,2300
2012,la pampa catrilo,4220,2500
2013,la pampa catrilo,4000,2200
2014,la pampa catrilo,11190,2600
2015,la pampa catrilo,11800,2200
2016,la pampa catrilo,20400,2700
2017,la pampa catrilo,5050,2600
2018,la pampa catrilo,16600,2600
2019,la pampa catrilo,16000,1300
2020,la pampa catrilo,21600,2500
2021,la pampa catrilo,21500,2350
1969,la pampa chapaleufu,35000,1050
1970,la pampa chapaleufu,6200,645
1971,la pampa chapaleufu,16000,988
1972,la pampa chapaleufu,25000,1312
1973,la pampa chapaleufu,19000,1500
1974,la pampa chapaleufu,35000,1400
1975,la pampa chapaleufu,44500,1449
1976,la pampa chapaleufu,52000,1422
1977,la pampa chapaleufu,18000,750
1978,la pampa chapaleufu,20000,1348
1979,la pampa chapaleufu,19000,1563
1980,la pampa chapaleufu,9800,704
1981,la pampa chapaleufu,19750,861
1982,la pampa chapaleufu,30000,1800
1983,la pampa chapaleufu,30300,1386
1984,la pampa chapaleufu,27000,2050
1985,la pampa chapaleufu,18040,1450
1986,la pampa chapaleufu,18700,1749
1987,la pampa chapaleufu,17500,1857
1988,la pampa chapaleufu,13500,1556
1989,la pampa chapaleufu,17700,1559
1990,la pampa chapaleufu,34000,2050
1991,la pampa chapaleufu,24500,2200
1992,la pampa chapaleufu,23600,2000
1993,la pampa chapaleufu,29000,2000
1994,la pampa chapaleufu,29100,1801
1995,la pampa chapaleufu,30700,1560
1996,la pampa chapaleufu,69100,1501
1997,la pampa chapaleufu,47900,2401
1998,la pampa chapaleufu,22700,2070
1999,la pampa chapaleufu,18200,2319
2000,la pampa chapaleufu,26950,2500
2001,la pampa chapaleufu,12900,1953
2002,la pampa chapaleufu,14700,2252
2003,la pampa chapaleufu,9900,1697
2004,la pampa chapaleufu,7350,3000
2005,la pampa chapaleufu,6900,2590
2006,la pampa chapaleufu,5900,1800
2007,la pampa chapaleufu,11000,4000
2008,la pampa chapaleufu,7800,2200
2009,la pampa chapaleufu,4490,1216
2010,la pampa chapaleufu,3600,3098
2011,la pampa chapaleufu,5900,3100
2012,la pampa chapaleufu,6100,3300
2013,la pampa chapaleufu,8900,1800
2014,la pampa chapaleufu,20900,2800
2015,la pampa chapaleufu,7200,2500
2016,la pampa chapaleufu,21660,3700
2017,la pampa chapaleufu,3600,3700
2018,la pampa chapaleufu,7600,3400
2019,la pampa chapaleufu,19400,2500
2020,la pampa chapaleufu,17100,2500
2021,la pampa chapaleufu,15500,3200
1969,la pampa conhelo,72000,900
1970,la pampa conhelo,16650,691
1971,la pampa conhelo,31000,758
1972,la pampa conhelo,71000,1254
1973,la pampa conhelo,53000,1552
1974,la pampa conhelo,55000,1200
1975,la pampa conhelo,75000,1400
1976,la pampa conhelo,86500,1450
1977,la pampa conhelo,40000,850
1978,la pampa conhelo,33500,1150
1979,la pampa conhelo,34300,1541
1980,la pampa conhelo,11100,770
1981,la pampa conhelo,29000,828
1982,la pampa conhelo,59000,1671
1983,la pampa conhelo,47500,1299
1984,la pampa conhelo,45000,2000
1985,la pampa conhelo,28500,1350
1986,la pampa conhelo,32000,1828
1987,la pampa conhelo,45000,1778
1988,la pampa conhelo,42500,1529
1989,la pampa conhelo,60000,1800
1990,la pampa conhelo,69000,2200
1991,la pampa conhelo,57000,2200
1992,la pampa conhelo,46100,1299
1993,la pampa conhelo,45600,1800
1994,la pampa conhelo,62600,1601
1995,la pampa conhelo,68600,1550
1996,la pampa conhelo,56800,1299
1997,la pampa conhelo,55215,2500
1998,la pampa conhelo,43100,2111
1999,la pampa conhelo,57400,2300
2000,la pampa conhelo,55700,2000
2001,la pampa conhelo,51300,1916
2002,la pampa conhelo,39200,2051
2003,la pampa conhelo,20300,798
2004,la pampa conhelo,24700,2200
2005,la pampa conhelo,25300,1200
2006,la pampa conhelo,8600,1410
2007,la pampa conhelo,17100,2800
2008,la pampa conhelo,24600,800
2009,la pampa conhelo,4630,810
2010,la pampa conhelo,8400,2582
2011,la pampa conhelo,26800,2900
2012,la pampa conhelo,29100,3000
2013,la pampa conhelo,16500,1500
2014,la pampa conhelo,44700,2700
2015,la pampa conhelo,24600,2300
2016,la pampa conhelo,35500,3400
2017,la pampa conhelo,31100,2700
2018,la pampa conhelo,38100,3000
2019,la pampa conhelo,35900,1400
2020,la pampa conhelo,33400,2000
2021,la pampa conhelo,36000,2600
1969,la pampa guatrache,80000,1020
1970,la pampa guatrache,32300,892
1971,la pampa guatrache,38000,671
1972,la pampa guatrache,70000,1154
1973,la pampa guatrache,58500,1550
1974,la pampa guatrache,59000,851
1975,la pampa guatrache,70000,843
1976,la pampa guatrache,90000,1350
1977,la pampa guatrache,54000,1000
1978,la pampa guatrache,51000,1250
1979,la pampa guatrache,25000,1063
1980,la pampa guatrache,51000,855
1981,la pampa guatrache,54100,1091
1982,la pampa guatrache,75700,1775
1983,la pampa guatrache,64000,1300
1984,la pampa guatrache,67000,1850
1985,la pampa guatrache,55680,1450
1986,la pampa guatrache,49800,1080
1987,la pampa guatrache,48000,1679
1988,la pampa guatrache,57500,1478
1989,la pampa guatrache,75000,1747
1990,la pampa guatrache,76000,900
1991,la pampa guatrache,53500,2000
1992,la pampa guatrache,38500,1151
1993,la pampa guatrache,51200,1801
1994,la pampa guatrache,50000,1300
1995,la pampa guatrache,36650,1018
1996,la pampa guatrache,57180,1380
1997,la pampa guatrache,59580,2220
1998,la pampa guatrache,58600,1604
1999,la pampa guatrache,49500,1960
2000,la pampa guatrache,55500,2126
2001,la pampa guatrache,56750,1980
2002,la pampa guatrache,55000,1957
2003,la pampa guatrache,37050,1100
2004,la pampa guatrache,54150,1998
2005,la pampa guatrache,17600,1100
2006,la pampa guatrache,11820,1100
2007,la pampa guatrache,28000,2500
2008,la pampa guatrache,35500,1000
2009,la pampa guatrache,11100,984
2010,la pampa guatrache,13000,1342
2011,la pampa guatrache,17000,2300
2012,la pampa guatrache,17900,2300
2013,la pampa guatrache,18000,1600
2014,la pampa guatrache,36460,2500
2015,la pampa guatrache,34300,2100
2016,la pampa guatrache,34160,1900
2017,la pampa guatrache,53920,1600
2018,la pampa guatrache,54400,2000
2019,la pampa guatrache,37800,900
2020,la pampa guatrache,61600,2200
2021,la pampa guatrache,31270,2150
1969,la pampa hucal,75000,600
1970,la pampa hucal,11800,483
1971,la pampa hucal,16000,519
1972,la pampa hucal,72000,946
1973,la pampa hucal,64000,900
1974,la pampa hucal,51000,700
1975,la pampa hucal,70000,900
1976,la pampa hucal,86000,1300
1977,la pampa hucal,25000,624
1978,la pampa hucal,55000,1300
1979,la pampa hucal,16000,928
1980,la pampa hucal,36000,889
1981,la pampa hucal,57200,839
1982,la pampa hucal,81000,1472
1983,la pampa hucal,55800,1050
1984,la pampa hucal,61000,1700
1985,la pampa hucal,50880,1250
1986,la pampa hucal,43100,912
1987,la pampa hucal,53500,1607
1988,la pampa hucal,49500,1424
1989,la pampa hucal,70500,1688
1990,la pampa hucal,67000,800
1991,la pampa hucal,49500,1901
1992,la pampa hucal,33200,1211
1993,la pampa hucal,49100,1100
1994,la pampa hucal,30000,600
1995,la pampa hucal,30650,798
1996,la pampa hucal,54080,1091
1997,la pampa hucal,57780,2199
1998,la pampa hucal,47000,702
1999,la pampa hucal,36300,1006
2000,la pampa hucal,35800,1804
2001,la pampa hucal,41500,1850
2002,la pampa hucal,40800,1900
2003,la pampa hucal,34500,1100
2004,la pampa hucal,43000,1950
2005,la pampa hucal,12000,700
2006,la pampa hucal,6600,800
2007,la pampa hucal,34000,2500
2008,la pampa hucal,30000,700
2009,la pampa hucal,12540,926
2010,la pampa hucal,13200,1549
2011,la pampa hucal,20000,2200
2012,la pampa hucal,20000,2200
2013,la pampa hucal,22000,1400
2014,la pampa hucal,12080,2500
2015,la pampa hucal,17700,2200
2016,la pampa hucal,35060,2700
2017,la pampa hucal,40000,1900
2018,la pampa hucal,35000,1900
2019,la pampa hucal,28900,900
2020,la pampa hucal,24500,2000
2021,la pampa hucal,9900,1950
1969,la pampa maraco,34000,950
1970,la pampa maraco,4500,644
1971,la pampa maraco,20000,950
1972,la pampa maraco,23500,1417
1973,la pampa maraco,18000,1500
1974,la pampa maraco,26000,1200
1975,la pampa maraco,33000,1409
1976,la pampa maraco,41000,1400
1977,la pampa maraco,19000,750
1978,la pampa maraco,22600,1425
1979,la pampa maraco,23000,1543
1980,la pampa maraco,6700,642
1981,la pampa maraco,19600,765
1982,la pampa maraco,34000,1700
1983,la pampa maraco,30380,1317
1984,la pampa maraco,27500,2000
1985,la pampa maraco,17600,1400
1986,la pampa maraco,18420,1748
1987,la pampa maraco,17000,1800
1988,la pampa maraco,12900,1550
1989,la pampa maraco,16500,1515
1990,la pampa maraco,29500,1851
1991,la pampa maraco,22000,2100
1992,la pampa maraco,20800,1298
1993,la pampa maraco,24500,1902
1994,la pampa maraco,25700,1650
1995,la pampa maraco,28400,1299
1996,la pampa maraco,37440,1200
1997,la pampa maraco,37600,2699
1998,la pampa maraco,24500,2204
1999,la pampa maraco,18400,2342
2000,la pampa maraco,15400,2500
2001,la pampa maraco,16900,1899
2002,la pampa maraco,13300,2150
2003,la pampa maraco,8600,1302
2004,la pampa maraco,6500,2400
2005,la pampa maraco,6300,1900
2006,la pampa maraco,3900,1700
2007,la pampa maraco,11800,3000
2008,la pampa maraco,8100,1500
2009,la pampa maraco,2500,1216
2010,la pampa maraco,3400,3098
2011,la pampa maraco,14200,3000
2012,la pampa maraco,11200,3100
2013,la pampa maraco,11900,1800
2014,la pampa maraco,7350,2800
2015,la pampa maraco,7900,2500
2016,la pampa maraco,13300,3700
2017,la pampa maraco,11320,3400
2018,la pampa maraco,26500,3400
2019,la pampa maraco,16700,2300
2020,la pampa maraco,20900,2300
2021,la pampa maraco,28000,3200
1969,la pampa quemu quemu,48000,1050
1970,la pampa quemu quemu,8400,643
1971,la pampa quemu quemu,20300,1113
1972,la pampa quemu quemu,37000,1411
1973,la pampa quemu quemu,28000,1600
1974,la pampa quemu quemu,33100,1196
1975,la pampa quemu quemu,47000,1426
1976,la pampa quemu quemu,49000,1400
1977,la pampa quemu quemu,25000,850
1978,la pampa quemu quemu,22000,1300
1979,la pampa quemu quemu,22300,1657
1980,la pampa quemu quemu,11500,704
1981,la pampa quemu quemu,30400,1086
1982,la pampa quemu quemu,42500,1700
1983,la pampa quemu quemu,37240,1477
1984,la pampa quemu quemu,34000,2000
1985,la pampa quemu quemu,22960,1400
1986,la pampa quemu quemu,23750,1752
1987,la pampa quemu quemu,26000,1658
1988,la pampa quemu quemu,19700,1523
1989,la pampa quemu quemu,25000,1560
1990,la pampa quemu quemu,31000,1800
1991,la pampa quemu quemu,28000,2100
1992,la pampa quemu quemu,23500,1302
1993,la pampa quemu quemu,21000,1100
1994,la pampa quemu quemu,32800,1500
1995,la pampa quemu quemu,38200,1301
1996,la pampa quemu quemu,46450,1500
1997,la pampa quemu quemu,42800,2701
1998,la pampa quemu quemu,27800,2194
1999,la pampa quemu quemu,14000,2300
2000,la pampa quemu quemu,18100,2500
2001,la pampa quemu quemu,14000,1900
2002,la pampa quemu quemu,10500,2152
2003,la pampa quemu quemu,7800,1308
2004,la pampa quemu quemu,10100,2300
2005,la pampa quemu quemu,7200,1500
2006,la pampa quemu quemu,3900,1621
2007,la pampa quemu quemu,12600,2800
2008,la pampa quemu quemu,5800,1300
2009,la pampa quemu quemu,3470,1006
2010,la pampa quemu quemu,5500,2582
2011,la pampa quemu quemu,7300,2800
2012,la pampa quemu quemu,6720,2900
2013,la pampa quemu quemu,16000,1600
2014,la pampa quemu quemu,13000,2600
2015,la pampa quemu quemu,9540,2300
2016,la pampa quemu quemu,19140,3500
2017,la pampa quemu quemu,11140,3200
2018,la pampa quemu quemu,8100,3200
2019,la pampa quemu quemu,10500,1600
2020,la pampa quemu quemu,14700,2000
2021,la pampa quemu quemu,18200,3000
1969,la pampa rancul,36000,750
1970,la pampa rancul,5200,538
1971,la pampa rancul,11500,551
1972,la pampa rancul,18000,1261
1973,la pampa rancul,12000,1400
1974,la pampa rancul,28000,1200
1975,la pampa rancul,34000,1253
1976,la pampa rancul,34000,1350
1977,la pampa rancul,15500,774
1978,la pampa rancul,21000,1200
1979,la pampa rancul,19100,1451
1980,la pampa rancul,3450,609
1981,la pampa rancul,15600,577
1982,la pampa rancul,34800,1650
1983,la pampa rancul,27900,1300
1984,la pampa rancul,26500,1850
1985,la pampa rancul,18275,1300
1986,la pampa rancul,18300,1503
1987,la pampa rancul,22000,1595
1988,la pampa rancul,18000,1222
1989,la pampa rancul,26500,1132
1990,la pampa rancul,23000,1800
1991,la pampa rancul,18500,2103
1992,la pampa rancul,16700,1898
1993,la pampa rancul,19000,1800
1994,la pampa rancul,16900,1402
1995,la pampa rancul,19700,1401
1996,la pampa rancul,5200,808
1997,la pampa rancul,14900,2201
1998,la pampa rancul,10100,2079
1999,la pampa rancul,17500,2160
2000,la pampa rancul,14100,2300
2001,la pampa rancul,18300,1847
2002,la pampa rancul,11700,1949
2003,la pampa rancul,6900,797
2004,la pampa rancul,14100,2300
2005,la pampa rancul,14200,1400
2006,la pampa rancul,4800,1500
2007,la pampa rancul,6600,3000
2008,la pampa rancul,5400,900
2009,la pampa rancul,2390,812
2010,la pampa rancul,3000,2065
2011,la pampa rancul,15300,2600
2012,la pampa rancul,13080,2900
2013,la pampa rancul,11000,1400
2014,la pampa rancul,35300,2500
2015,la pampa rancul,21200,2100
2016,la pampa rancul,40100,3100
2017,la pampa rancul,17750,2700
2018,la pampa rancul,37300,3000
2019,la pampa rancul,8700,1500
2020,la pampa rancul,6800,1600
2021,la pampa rancul,16900,2700
1969,la pampa realico,40000,850
1970,la pampa realico,6400,641
1971,la pampa realico,12000,650
1972,la pampa realico,27000,1259
1973,la pampa realico,26500,1500
1974,la pampa realico,38000,1300
1975,la pampa realico,46000,1326
1976,la pampa realico,54000,1300
1977,la pampa realico,19500,769
1978,la pampa realico,23000,1200
1979,la pampa realico,24750,1600
1980,la pampa realico,8500,506
1981,la pampa realico,16100,683
1982,la pampa realico,34000,1798
1983,la pampa realico,31825,1383
1984,la pampa realico,28000,1900
1985,la pampa realico,20700,1300
1986,la pampa realico,20100,1647
1987,la pampa realico,17000,1676
1988,la pampa realico,17500,1286
1989,la pampa realico,23000,1261
1990,la pampa realico,31500,1902
1991,la pampa realico,29000,2000
1992,la pampa realico,28100,1801
1993,la pampa realico,29800,1799
1994,la pampa realico,47500,1800
1995,la pampa realico,54900,1461
1996,la pampa realico,34030,1000
1997,la pampa realico,48200,2181
1998,la pampa realico,35300,2125
1999,la pampa realico,21300,2310
2000,la pampa realico,19300,2290
2001,la pampa realico,30600,1807
2002,la pampa realico,22000,2150
2003,la pampa realico,13300,1098
2004,la pampa realico,11600,2500
2005,la pampa realico,9100,1700
2006,la pampa realico,4900,1700
2007,la pampa realico,12700,2800
2008,la pampa realico,10600,900
2009,la pampa realico,2390,925
2010,la pampa realico,2300,2479
2011,la pampa realico,14600,2800
2012,la pampa realico,14200,3100
2013,la pampa realico,13700,1400
2014,la pampa realico,24150,2700
2015,la pampa realico,22100,2200
2016,la pampa realico,22830,3400
